Qbf.m3s,D50.mm,Hbf.m,S,Bbf.m
216340.708,0.2,48.11776,8.75E-06,2286
161330,0.25,38,2.10E-05,2722
120000,0.25,26.5,1.80E-05,3201
90000,0.2,43,1.60E-05,1043
70000,0.3,19.5,3.40E-05,2140
64600,0.4,17.4,6.00E-05,1770
60000,0.25,15,6.80E-05,3400
60000,0.3,17,3.80E-05,2160
42475.26989,0.3,16.764,8.15E-05,2143.9632
42475.26989,0.5,20.1168,4.73E-05,1381.3536
30582.19432,0.18,10.9728,0.000159,975.36
28000,0.35,10.6,0.000248,1975
27330,0.4,13.5,4.90E-05,1490
21237.63494,0.25,11.8872,0.00047,605.3328
21000,0.4,16,3.60E-05,1042
20500,0.3,13.1,4.80E-05,1330
20000,0.4,15,4.10E-05,1028
17140,0.3,11.7,4.40E-05,1320
16990.10796,1.6,15.24,0.000191,274.32
16950,0.31,13.92,9.00E-05,625
16706.93949,0.22,11.18616,7.40E-05,737.616
16300,0.31,11.34,7.00E-05,776
16000,0.3,10,5.00E-05,1600
12300,0.3,16.84,0.00011,1150
7079.211648,0.01,6.096,1.67E-05,1402.08
7079.211648,0.18,4.8768,0.0001,982.98
6611.983679,0.19,7.3152,0.0001065,344.424
6000,0.3,7.5,9.80E-05,621
5440,80,6.95,0.00052,280
4400.43796,0.32,3.81,0.001595,579.12
3700,0.3,6.6,0.0001,507
3200,0.4,6,0.00015,385
2928.893174,70,4.74,0.00149,195.5
2605.149886,0.19,5.334,9.00E-05,441.96
2406.93196,4.77,5.51688,0.00217,185.928
2123.763494,0.15,6.4008,0.000328,205.74
2012.307732,63,5.985,0.00098,103.05
1982.179261,0.32,3.9624,0.00031,365.76
1982.179261,4,7.9248,0.0009,160.02
1727.327642,5,5.010912,0.00023,274.32
1670.693949,0.18,5.9436,5.80E-05,217.932
1543.446263,28,4.97,0.00034,168.8
1500,0.45,3,0.00013,515
1428.973259,34,5.37,0.00047,127.05
1415.84233,0.1,4.572,0.00019,213.36
1359.208636,0.15,5.42544,0.000342,178.308
1319.616727,38,4.365,0.00066,137.35
1274.258097,0.3,2.5908,0.00125,320.04
1240,0.3,3,0.000286,600
1200,0.4,5,0.000288,140
1133,0.33,3.76,0.00027,226
1132.673864,0.043,3.9624,0.00046,152.4
1020.757116,47,3.67,0.001,128.5
1020,38,3.84,0.00035,123
978.708702,52,2.84,0.0013,160.5
850,0.3,2.2,0.00031,187
850,0.38,2.97,0.0003,186
849.5053978,0.28,2.7432,0.0003,225.2472
849.5053978,0.8,5.1816,0.00011,106.68
849.5053978,0.96,3.048,0.00067,152.4
849.5053978,1.5,6.096,0.00067,152.4
622.6693148,57,2.39,0.0021,107
608.4273151,58,2.43,0.00175,102
579.5307108,52,3.135,0.0015,77.5
566.3369318,0.26,4.14528,0.00033,79.248
566.3369318,0.9,5.860585366,0.000208333,74.9808
566.3369318,0.95,6.668277551,0.000113636,74.676
550,28,4.19,0.0007,59.35
510,43,2.38,0.0016,126
481.3863921,0.67,4.572,8.50E-05,152.4
453.0695455,0.04,1.8288,0.000227,137.16
453.0695455,1.3,6.553915493,0.000132576,64.9224
396.4358523,0.041,5.1816,0.000137,102.108
396.4358523,0.33,7.19328,0.0005,38.7096
396.4358523,0.63,5.672666667,0.000113636,76.8096
391.0556514,25,3.45948,0.000417,44.196
370,77,3.6,0.0015,58
368.1190057,0.88,4.173609959,0.000284091,73.4568
339.8021591,0.04,1.524,0.000227,146.304
311.4853125,0.71,5.098472727,0.000132576,67.056
308.6536279,0.5,1.76784,0.002,89.3064
291.6635199,14.71,2.319528,0.0003,75.5904
290,0.4,4.4,0.001,200
